Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800503017,2013,1830,183,107,15,6,9,17,10,14,2,31,7,3,0,7,0,1,5,0,44,6,0,3,11,9,1,0,1,2,5,0,2,18,3,0,0
2800504001,2672,2309,363,102,3,0,8,18,6,7,4,46,32,24,2,3,0,2,0,0,213,12,1,15,46,5,5,2,3,7,53,0,30,13,5,0,0
2800504002,1591,1519,72,40,1,1,0,3,1,1,0,33,2,0,0,0,0,0,0,0,27,3,0,4,8,1,0,1,0,0,4,1,2,3,2,0,0
2800504003,1764,1645,119,93,3,1,1,10,6,1,0,70,1,0,0,3,0,2,1,0,18,1,0,4,3,0,0,3,0,4,1,0,1,4,4,0,0
2800504004,1444,1356,88,61,1,0,2,4,4,1,1,48,4,0,0,0,0,0,0,0,15,1,0,0,2,1,0,0,0,4,0,0,2,8,1,0,0
2800504005,1789,1640,149,101,1,0,0,2,8,0,0,87,2,0,2,11,0,9,0,0,29,2,0,3,10,0,0,4,0,0,3,0,3,6,1,0,0
2800504006,2064,1893,171,108,3,6,0,0,17,3,1,74,16,0,10,2,0,2,0,0,38,2,0,4,14,3,0,9,0,2,1,0,2,7,4,2,0
2800504007,2218,2085,133,74,7,0,6,1,1,0,1,55,3,1,0,1,1,0,0,0,40,4,2,1,13,0,2,3,2,6,2,0,4,15,5,0,0
2800504008,2186,2059,127,64,1,2,5,7,14,0,1,31,8,0,0,7,0,0,0,0,25,3,0,2,6,1,5,0,1,4,0,0,2,23,22,0,0
2800504009,1595,1442,153,93,1,1,2,3,23,7,2,52,8,0,2,8,0,3,0,0,44,4,0,2,14,2,3,2,0,5,1,0,3,0,0,0,0
2800504010,2416,2178,238,161,7,6,3,10,6,6,1,112,7,0,4,7,0,4,1,0,35,6,5,1,12,2,0,0,0,1,0,2,1,28,26,0,0
2800504011,2373,2202,171,102,3,4,3,4,6,11,1,58,0,0,0,5,2,3,0,0,44,8,0,3,14,1,0,3,0,5,2,0,3,20,12,0,0
2800504012,1821,1557,264,159,0,14,1,5,40,8,0,87,18,3,11,55,1,26,5,0,29,2,1,3,6,1,4,3,0,1,6,1,0,3,3,0,0
2800504013,1805,1751,54,32,1,3,5,9,1,2,0,9,0,0,0,0,0,0,0,0,17,4,0,5,1,0,0,0,0,1,1,0,3,5,3,0,0
2800504014,1913,1763,150,87,6,4,1,4,4,4,2,58,6,3,0,3,0,0,1,0,38,2,0,0,15,1,3,1,1,0,1,0,2,16,14,0,0
2800504015,1929,1763,166,83,1,5,4,3,24,4,0,39,0,0,0,56,1,38,4,0,22,1,0,2,3,1,1,4,0,6,1,0,1,5,0,0,0
2800504016,1677,1585,92,66,1,1,1,1,8,0,2,51,0,0,0,0,0,0,0,0,19,0,0,1,2,2,0,2,0,1,2,0,3,6,5,0,1
2800505001,1481,860,621,477,1,13,0,1,55,2,1,402,8,1,4,36,4,0,16,0,88,0,1,3,20,3,3,23,9,5,20,1,0,12,8,0,0
2800505002,1953,1396,557,425,0,16,1,6,31,2,0,360,15,0,11,31,0,11,7,1,75,3,3,12,9,4,1,16,0,17,5,0,0,11,11,0,0
2800505003,1861,1310,551,398,5,15,2,1,51,1,1,314,17,1,12,27,1,10,12,1,84,6,0,18,28,3,1,4,0,5,16,0,1,25,24,0,0
2800505004,1449,1079,370,268,0,3,1,4,29,2,0,228,12,0,11,9,0,4,1,0,67,5,7,5,16,0,0,15,0,8,8,0,2,14,14,0,0
2800505005,1414,1067,347,282,0,17,0,2,9,1,0,248,1,0,0,8,0,4,3,0,49,1,2,14,12,0,0,0,2,2,15,0,0,7,7,0,0
2800505006,991,806,185,131,1,8,0,0,20,0,0,102,1,0,0,6,0,4,0,1,37,0,0,2,19,0,0,0,0,3,11,0,0,10,9,0,0
