Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800502034,1554,1306,248,182,0,12,0,7,18,0,0,144,13,0,11,11,0,4,2,0,13,0,0,1,2,1,0,2,0,0,0,1,2,29,29,0,0
2800502035,1823,1558,265,165,1,19,1,5,10,1,0,127,24,0,20,32,3,5,10,3,31,4,2,1,4,8,1,1,1,1,2,0,0,13,1,11,0
2800502036,1835,1577,258,180,0,5,0,0,13,0,0,162,15,0,14,22,0,2,9,0,19,1,0,0,7,3,0,2,1,0,2,1,2,22,21,0,0
2800502037,1059,900,159,120,1,3,0,1,26,1,1,86,16,0,15,6,0,5,0,0,17,3,0,1,1,1,0,4,3,0,2,0,2,0,0,0,0
2800503001,1607,1246,361,232,0,14,1,2,11,0,1,202,7,0,3,47,0,17,12,0,47,4,0,0,12,1,0,4,0,13,5,0,2,28,16,11,0
2800503002,1223,938,285,175,0,12,0,2,9,0,0,152,22,0,14,30,0,16,12,0,32,0,1,0,6,2,0,3,1,4,9,1,3,26,21,1,0
2800503003,1329,809,520,388,0,28,0,0,5,2,0,352,45,0,43,29,1,21,3,0,43,0,4,2,3,4,0,12,0,5,10,0,3,15,14,0,0
2800503004,1512,1274,238,165,1,20,1,6,11,2,0,124,23,2,21,19,0,6,7,0,16,1,5,0,4,2,0,1,1,0,0,1,0,15,15,0,0
2800503005,1107,767,340,227,0,26,0,1,16,2,0,182,34,2,23,49,0,21,13,0,19,0,0,1,7,0,0,4,1,2,2,1,0,11,7,2,0
2800503006,1757,1378,379,264,0,17,0,4,2,3,0,237,38,1,23,27,0,20,0,0,20,1,0,4,3,0,0,2,3,5,0,0,1,30,23,6,0
2800503007,2267,1837,430,331,1,25,0,3,2,2,0,297,31,1,21,31,1,19,9,0,29,0,0,2,4,0,0,8,0,9,4,0,0,8,7,0,0
2800503008,1253,985,268,215,0,5,1,2,4,5,2,196,12,0,4,11,1,2,2,3,20,0,1,0,2,2,0,0,0,4,1,0,0,10,8,0,0
2800503009,1487,1079,408,279,0,31,0,4,8,1,0,233,37,1,27,49,1,29,11,2,28,0,0,0,5,3,0,7,1,3,6,0,0,15,12,0,0
2800503011,1533,1200,333,273,0,34,2,1,19,0,0,215,22,0,11,11,0,7,0,0,27,1,0,0,1,1,1,0,0,7,14,0,1,0,0,0,0
2800503012,1423,1151,272,194,1,24,0,0,8,2,2,156,10,0,4,36,0,11,8,2,26,2,8,0,3,1,5,0,0,0,1,1,4,6,0,0,0
2800503013,1591,1513,78,17,1,0,1,3,0,8,1,1,1,1,0,3,0,3,0,0,23,1,0,2,3,0,1,1,1,3,2,0,1,33,16,0,1
