TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2011;05;092007;IO-PM;INDEPENDENTS PELS OMELLONS - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;051253;CC-PCN-CCN;COALICION CANARIA-PNC-CCN;001256;001256;001256
04;2011;05;001790;G.S.F.;GENT PER SANT FOST;001790;001790;001790
04;2011;05;140631;A. V. IRUÑA DE OCA;AGRUPACION VECINAL DE IRUÑA DE OCA;000631;000631;000631
04;2011;05;003126;P.R.GU.;PARTIDO REGIONALISTA DE GUADALAJARA;003126;003126;003126
04;2011;05;001893;G. JUSLAPEÑA-TXULAPAIN TALDEA;GRUPO JUSLAPEÑA - TXULAPAIN TALDEA;001893;001893;001893
04;2011;05;003688;UCL;UNION CIUDADANA POR LETUX;003688;003688;003688
04;2011;05;001833;GISCa;GRUP INDEPENDENT SON CARRIO;001833;001833;001833
04;2011;05;003553;SAIn;SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA;003553;003553;003555
04;2011;05;090655;AsT;Altafulla som Tots;000655;000655;000655
04;2011;05;091762;GENT DE PUIGPELAT;GENT DE PUIGPELAT;001762;001762;001762
04;2011;05;003039;P.I.P.N.;PARTIDO INDEPENDIENTE POR LAS NACIONALIDADES;003039;003039;003039
04;2011;05;173689;UCBET;UNION CIUDADANOS DE BETERA;003689;003689;003689
04;2011;05;173765;UPPA;UNIÓN POPULAR DE ALBORAYA;003765;003765;003765
04;2011;05;000114;A.C.L.S.;AGRUPACIÓN DE CENTRO LIBERAL POR SIRUELA;000114;000114;000114
04;2011;05;000634;AxLL;AGRUPACION X LA LAGUNA;000634;000634;000634
04;2011;05;091984;PM;INDEPENDENTS DE SAUS, CAMALLERA I LLAMPAIES - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;031422;DCyR;DEMOCRACIA, CIUDADANIA Y REPUBLICA;001422;001422;001422
04;2011;05;092084;PM;INDEPENDENTS PER GOMBREN-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;092024;IxAB-AM;INDEPENDENTS PER ALÒS DE BALAGUER-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;070402;A.I.C.C.;AGRUPACION INDEPENDIENTE DE CHOZAS DE CANALES;000402;000402;000402
04;2011;05;121179;CdTI;CIUDADANOS DE TIELMES;001179;001179;001179
04;2011;05;093466;PM-PSC-APM;PROGRÉS MUNICIPAL - PARTIT DELS SOCIALISTES DE CATALUNYA - AVANCEM PER MASQUEFA;003279;003279;003186
04;2011;05;000282;AVIG;AGRUPACION DE VECINOS INDEPENDIENTES DE GELIDA;000282;000282;000282
04;2011;05;000488;AIV;AGRUPACIÓN INDEPENDIENTE DE VILLARRUBIA;000488;000488;000488
04;2011;05;003777;UPrL;UNION PROGRESISTA POR LIBRILLA;003777;003777;003777
04;2011;05;091063;C.U.P. - P.A;CANDIDATURA D'UNITAT POPULAR / POBLE ACTIU;001051;001051;001051
04;2011;05;091490;EO-I-EV;ENTESA DELS OLESANS - INICIATIVA-ESQUERRA VERDA;003974;003974;003974
04;2011;05;003808;UNIR;UNIR;003808;003808;003808
04;2011;05;031127;CA-UN;CARREÑO UNIDO;001127;001127;001127
04;2011;05;002423;I.P.J;INICIATIVA PROGRESISTA JEREZANA;002423;002423;002423
04;2011;05;091597;Equerra-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;001478;EV-GVE;ELS VERDS-GRUP VERD EUROPEU;001478;001478;001478
04;2011;05;070460;AIR;AGRUPACION INDEPENDIENTE DE RIOPAR;000460;000460;000460
04;2011;05;083529;SEGOVIA DE IZQUIERDAS;SEGOVIA DE IZQUIERDAS;003528;003528;003528
04;2011;05;063424;TI;POLÍTICA TORRELAVEGA IMPORTA;003424;003424;003424
04;2011;05;002349;IH;INICIATIVA HABITABLE;002349;002349;002349
04;2011;05;130875;AUZOLAN GUESALAZ-AUGU;AUZOLAN GUESALAZ-AUGU;000875;000875;000875
04;2011;05;071437;DEYPA;DESDE Y PARA ALBALADEJO;001437;001437;001437
