TIPO_ELECCION;ANIO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;MUNICIPIO;COD_DIST_ELEC;COD_PART_JUD;COD_DIP_PROV;COD_COM;POBLACION_DER;N_MESAS;CENSO;CENSO_ESCR;CENSO_CERE;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;ESCANIOS;VOTOS_REFR_SI;VOTOS_REFR_NO;DATOS_OFIC
04;2011;05;1;01;04;096;99;Urrácal;0;053;053;000;00000348;00001;00000312;00000312;00000016;00000000;00000175;00000228;00000002;00000006;00000276;007;00000000;00000000;S
04;2011;05;1;01;04;097;99;Velefique;0;013;013;000;00000295;00001;00000301;00000301;00000000;00000000;00000177;00000225;00000000;00000000;00000269;007;00000000;00000000;S
04;2011;05;1;01;04;098;99;Vélez-Blanco;0;053;053;000;00002282;00004;00001680;00001680;00000061;00000000;00000626;00001025;00000022;00000024;00001228;011;00000000;00000000;S
04;2011;05;1;01;04;099;99;Vélez-Rubio;0;053;053;000;00007138;00010;00005213;00005215;00000142;00000000;00002130;00002540;00000060;00000079;00003892;013;00000000;00000000;S
04;2011;05;1;01;04;100;99;Vera;0;100;100;000;00014371;00013;00008164;00008164;00000354;00000000;00002551;00003699;00000071;00000043;00005239;017;00000000;00000000;S
04;2011;05;1;01;04;101;99;Viator;0;013;013;000;00005043;00007;00003907;00003907;00000028;00000000;00001730;00002291;00000035;00000022;00002751;013;00000000;00000000;S
04;2011;05;1;01;04;102;99;Vícar;0;013;013;000;00023410;00023;00013002;00013003;00000211;00000000;00004116;00006533;00000145;00000065;00008412;021;00000000;00000000;S
04;2011;05;1;01;04;103;99;Zurgena;0;053;053;000;00003060;00004;00002482;00002482;00000919;00000000;00001076;00001514;00000007;00000012;00001726;011;00000000;00000000;S
04;2011;05;1;01;04;901;99;Tres Villas (Las);0;013;013;000;00000655;00002;00000625;00000625;00000018;00000000;00000100;00000401;00000005;00000004;00000541;007;00000000;00000000;S
04;2011;05;1;01;04;902;99;Ejido (El);0;029;029;000;00085389;00084;00044462;00044487;00001803;00000000;00014888;00020062;00000619;00000267;00026081;025;00000000;00000000;S
04;2011;05;1;01;04;903;99;Mojonera (La);0;013;013;000;00008540;00008;00004342;00004343;00000022;00000000;00001634;00002237;00000043;00000052;00002860;013;00000000;00000000;S
04;2011;05;1;01;11;001;99;Alcalá de los Gazules;0;031;031;000;00005592;00007;00004375;00004375;00000015;00000000;00001808;00001604;00000038;00000041;00003152;013;00000000;00000000;S
04;2011;05;1;01;11;002;99;Alcalá del Valle;0;006;006;000;00005319;00007;00004286;00004285;00000006;00000000;00001548;00002654;00000025;00000013;00003867;013;00000000;00000000;S
04;2011;05;1;01;11;003;99;Algar;0;006;006;000;00001538;00002;00001297;00001295;00000002;00000000;00000617;00000868;00000009;00000003;00001066;009;00000000;00000000;S
